id_documento,texto_extraido,categoria_calidad,razon_etiqueta,reason_etiqueta,categoria_cal_calidad
ANTIGRAVITY_062,"TESIS\n\nPlataforma de monitoreo agricola con IoT\nSe conectan sensores de humedad, temperatura y luminosidad con un ESP32. Los datos se envian por MQTT a una base de datos y luego se visualizan en un dashboard.\n\nEl texto menciona riego automatico, alertas por Telegram y almacenamiento historico, pero no se describen intervalos de muestreo ni pruebas de campo. Hay una linea que dice 'ver fig. 2' en medio del parrafo. Aun asi, la idea se entiende y el sistema parece viable para una parcela pequeña.",Regular,"Tiene una base técnica válida, pero la documentación es incompleta y poco rigurosa.",,
ANTIGRAVITY_063,"PROYECTO INTEGRADOR\n\nSistema de recomendaciones con embeddings\nSe plantea un buscador semantico para videos educativos usando Sentence Transformers y una base vectorial. La capa de servicio se publica con FastAPI y se integra una interfaz simple en React.\n\nLa propuesta incluye filtrado por tema, score de similitud, logging de interacciones y un modulo de retroalimentacion para mejorar ranking. Se menciona A/B testing y metricas como nDCG, MRR y tasa de clics. El PDF trae saltos de linea irregulares y una cabecera repetida 'Capitulo IV'.\n\nEl documento es entendible, pero los detalles de entrenamiento son limitados.",Excelente,"Integra búsqueda semántica, métricas de recomendación y arquitectura web actual.",,
ANTIGRAVITY_064,"Tesis de software\n\nClasificacion automatica de correos institucionales\nSe usa un modelo Transformer multilingüe para etiquetar mensajes como becas, servicios, pagos y soporte técnico. El backend expone endpoints con FastAPI y se guarda el historial en PostgreSQL.\n\nSe aplican limpieza de texto, normalizacion de acentos y validacion cruzada. Se reportan F1 macro, precision y recall por clase. Hay una nota de OCR que mezcla mayusculas y dice 'pagina 8/21' dentro del resumen.\n\nEl proyecto tambien contempla reentrenamiento semestral y monitoreo de drift.",Excelente,Es una propuesta actual de NLP aplicada con evaluación y mantenimiento modelo.,,
ANTIGRAVITY_065,"Proyecto final\n\nDeteccion de caidas en adultos mayores con vision computacional\nSe propone usar YOLOv8 para deteccion de postura y un clasificador temporal para validar eventos. La camara se instala en un hogar y el sistema genera alertas a una app movíl.\n\nLa arquitectura contempla FastAPI, streaming de video, almacenamiento de eventos y panel de monitoreo. Se mencionan precision, recall, falso positivo y latencia. El texto tiene una mezcla extraña de letras mayusculas y minusculas, como si el OCR hubiera fallado.\n\nLa solucion es realista y orientada a impacto social.",Excelente,"Combina visión computacional, alertas y despliegue con un caso de uso sólido.",,
ANTIGRAVITY_066,"TRABAJO RECEPCIONAL\n\nAnalisis de sentimiento para encuestas estudiantiles\nSe entrena un modelo de texto con un encoder preentrenado y se expone con FastAPI. Los resultados se muestran en un dashboard con graficas de barras y series temporales.\n\nEl documento menciona F1 macro, matriz de confusion y pruebas con datos anonimizados. Hay cortes extraños: '2. 3. 4. resultados' dentro del texto. Tambien se plantea guardar feedback para correccion manual.\n\nA pesar del OCR sucio, la estructura técnica es clara.",Excelente,"Presenta un pipeline NLP actual con métricas, API y visualización de resultados.",,
ANTIGRAVITY_067,"Proyecto integrador\n\nSistema de apoyo para diagnostico de plantas\nSe usan imagenes tomadas con celular y una CNN ligera para detectar plagas y manchas foliares. El backend corre con FastAPI y se despliega en Docker.\n\nEl texto habla de augmentations, validacion por lotes y reporte de precision por clase. La propuesta incluye exportacion a ONNX y un modulo de retroalimentacion del usuario. Un encabezado mal colocado interrumpe el parrafo: 'Anexo B'.\n\nLa idea es moderna y aplicable a extension agricola.",Excelente,Usa visión computacional y despliegue ligero con componentes contemporáneos.,,
ANTIGRAVITY_068,"Proyecto\n\nSistema de compras para una papeleria\nSe hace en Visual Basic y Access. Permite capturar proveedores, pedidos y facturas, pero el documento no indica como maneja errores o respaldos.\n\nLa redaccion es confusa, con frases repetidas y una pagina suelta que dice '1 de 5'. El sistema parece funcionar, aunque no hay evidencia de pruebas ni de diseño por capas.\n\nLa propuesta resuelve una necesidad pequeña, sin mucha complejidad.",Regular,"Sistema clásico y poco documentado, con alcance limitado.",,
ANTIGRAVITY_069,"TESIS\n\nGestor de citas odontologicas\nAplicacion web en PHP con MySQL y Bootstrap. Se administra agenda, historiales basicos y recordatorios por correo.\n\nEl documento menciona login y reportes, pero no explica permisos de usuario ni seguridad. Hay fallas de OCR, por ejemplo 'clase de usuario' aparece partido en dos lineas. La propuesta es funcional, aunque muy parecida a otros proyectos escolares.\n\nNo hay API ni automatizacion de despliegue.",Regular,"Es una solución convencional, útil pero sin innovación ni detalle técnico.",,
ANTIGRAVITY_070,"Proyecto final\n\nMonitoreo de parque vehicular con GPS\nSe usa una interfaz web simple y una base de datos relacional. Los vehiculos envian coordenadas cada cierto tiempo y el sistema muestra su posicion en un mapa.\n\nLa documentacion es escasa y no define si usa MQTT, REST o algun protocolo. Aparecen notas sueltas como 'pagina 6' y 'revisar figura'. El flujo general se entiende, pero falta profundidad sobre rendimiento y seguridad.\n\nEs un prototipo correcto y basico.",Regular,Tiene funcionalidad clara pero documentación y arquitectura limitadas.,,
ANTIGRAVITY_071,"Proyecto recepcional\n\nSistema de registro de tutorias academicas\nSe implementa en Python con Flask, SQLite y formularios simples. Permite guardar asesorias, observaciones y seguimiento de estudiantes.\n\nNo se explican roles, autenticación fuerte ni métricas de uso. Hay errores de redaccion y un fragmento mezclado con mayusculas: 'RESULTADOS PRELIMINARES'.\n\nLa propuesta es util para una coordinación, pero el nivel tecnico es moderado.",Regular,"Es un desarrollo sencillo y funcional, con documentación incompleta.",,
ANTIGRAVITY_072,"PROYECTO INTEGRADOR\n\nAutomatizacion total con IA cuántica, blockchain y agentes multimodales\nEl sistema toma decisiones por si solo, predice todo y corrige procesos en tiempo real. Se menciona un motor de hyperinteligencia, un cloud neural y un modulo de metaverso para visualización.\n\nNo hay entradas, salidas, tipos de datos ni casos de prueba. El texto esta lleno de keywords y frases como 'sinergia cognitiva' y 'orquestacion disruptiva'. El OCR parece haber juntado varias lineas en un solo bloque.\n\nLa propuesta no es implementable.",Mal hecho,"Satura con buzzwords vacíos y carece de arquitectura, datos y metodología.",,
ANTIGRAVITY_073,"TESIS\n\nSistema omnicanal para campus 5.0 con IA, edge, serverless y quantum\nSe integra todo en una sola plataforma que detecta emociones, optimiza horarios y administra recursos. El documento repite las palabras inteligente, autónomo y escalable sin aterrizarlas.\n\nNo define usuarios, requerimientos ni herramientas concretas. Hay una frase que dice 'ver resultados 2. 3. 4.' dentro del objetivo general. El texto parece escrito para impresionar, no para construir.\n\nLa calidad técnica es muy baja.",Mal hecho,Usa marketing tecnológico sin coherencia técnica ni definición del problema.,,
ANTIGRAVITY_074,"Proyecto final\n\nClasificador de solicitudes con aprendizaje mágico\nSe plantea entrenar un transformer con pocos datos, sin limpieza y sin validación, porque el sistema 'aprende solo'.\n\nSe mencionan embeddings, nubes cognitivas y analisis predictivo, pero no se especifica nada del pipeline. La redaccion mezcla conceptos correctos con frases que no tienen relación. Tambien aparece una leyenda OCR: 'página 3 de 11'.\n\nNo es reproducible y no se entiende el alcance.",Mal hecho,"La propuesta es vaga, inviable y llena de tecnicismos usados sin sentido.",,
ANTIGRAVITY_075,"Documento extraido\n\nNeural blockchain emotional platform para estudiantes\nLa solución ofrece bienestar, control, analitica y automatizacion total. Se integran agentes, RAG, visión y IoT en un solo modulo sin explicar la arquitectura.\n\nHay errores como 'tecnoogía' y 'obgetivo'. El texto alterna mayúsculas y minusculas de forma aleatoria y no presenta datos de entrenamiento ni validación. Parece un collage de palabras de moda.\n\nLa calidad es claramente baja.",Mal hecho,Es keyword stuffing sin especificación técnica ni lógica funcional.,,
ANTIGRAVITY_076,"NOTICIA TECNOLOGICA\n\nLa industria del software acelera la adopcion de LLM locales en 2026. Empresas y universidades priorizan privacidad, menor latencia y menor costo operativo. Los stacks frecuentes incluyen FastAPI, Ollama, Qdrant, Docker y monitoreo de modelos.\n\nTambien crece el uso de agentes ligeros para soporte, busqueda semantica y automatizacion de documentos. El enfoque local primero gana terreno frente a soluciones dependientes de la nube. 1 de 3.\n\nNo es una tesis ni una propuesta de proyecto, sino un resumen periodistico.",Ruido,"Es un fragmento de noticia tecnológica, no una propuesta universitaria.",,
ANTIGRAVITY_077,"TEMARIO DE CLASE\n\nUnidad 5: redes neuronales\n- perceptron\n- backpropagation\n- overfitting\n- regularizacion\n- optimizacion\n\nActividad: resolver ejercicios, leer el capitulo y entregar resumen en PDF.\nEl documento no contiene problema de investigacion ni objetivos de proyecto. Hay una nota de pagina que aparece en medio del texto: '2/7'.\n\nCorresponde a material académico, no a una propuesta.",Ruido,Es un temario escolar sin estructura de proyecto integrador.,,
ANTIGRAVITY_078,"NOTA INSTITUCIONAL\n\nSe presentaron drones, robots y dashboards de analitica en la feria de innovacion de la facultad.\nLas autoridades anunciaron nuevas alianzas con empresas de cloud y ciberseguridad.\nHubo exhibiciones, fotos y conferencias sobre industria 4.0.\n\nEl texto no describe metodología, objetivos ni resultados. La extracción OCR dejó palabras pegadas y un encabezado repetido en medio: 'programa oficial'.\n\nNo corresponde a una propuesta de tesis.",Ruido,"Es contenido de evento institucional, no un documento de investigación.",,
ANTIGRAVITY_079,TEMARIO\n\nSesion 3: APIs REST\n1. GET y POST\n2. PUT y DELETE\n3. autenticacion\n4. manejo de errores\n5. pruebas con Postman\n\nPractica: crear un ejemplo y subir captura.\nLa pagina aparece cortada y una linea dice 'ver diagrama 1'. No hay alcance academico ni problema de negocio.\n\nEs material de clase.,Ruido,Es un temario docente y no una propuesta de proyecto.,,
ANTIGRAVITY_080,"FRAGMENTO EXTRAIDO\n\nLa facultad organizo una semana de ciencia donde se mostraron sensores, drones y prototipos de software.\nSe presentaron ponencias sobre inteligencia artificial, datos y automatización.\nEl texto no tiene objetivos, marco metodologico ni entregables.\n\nParece nota de evento o boletin informativo.",Ruido,"Es un boletín institucional, no un texto de proyecto.",,
ANTIGRAVITY_081,"Proyecto integrador\n\nClasificacion de correos institucionales con transformer\nSe usa un encoder multilingüe preentrenado y fine tuning para becas, pagos, soporte y convocatorias. El servicio se expone con FastAPI y se guarda el historial de consultas en PostgreSQL. La evaluación contempla F1 macro, recall por clase y tiempo de inferencia.\n\nSe agrega limpieza de texto, normalizacion de acentos, balanceo de clases y versionado del modelo. El documento menciona 2. 3. 4. pruebas en un apartado que quedó mal alineado por OCR. Tambien se plantea un feedback loop para reentrenar cada semestre.\n\nLa propuesta es actual y tecnicamente consistente.",Excelente,"NLP moderno con arquitectura de servicio, métricas y ciclo de mejora bien definidos.",,
ANTIGRAVITY_082,"TESIS\n\nDeteccion de caidas en adultos mayores con YOLO\nEl sistema usa una camara y un modelo de vision computacional para detectar postura y eventos de caida en tiempo real.\n\nSe plantea una API en FastAPI, una base para guardar alertas y una app movil que avisa a familiares. El documento sugiere medir precision, recall, falsos positivos y latencia. Hay lineas con mayusculas mezcladas y un 'capitulo IV' metido en medio del resumen.\n\nLa solución es aplicada y con impacto social.",Excelente,"Alinea visión computacional, alertas y despliegue actual con un caso de uso útil.",,
ANTIGRAVITY_083,"Proyecto final\n\nBuscador semantico de documentos con RAG local\nOllama ejecuta un LLM cuantizado y Qdrant guarda embeddings. El backend en FastAPI recibe PDFs, ejecuta OCR, hace chunking, recupera top-k fragmentos y genera respuestas citadas.\n\nSe reportan faithfulness, answer relevancy, recall@5 y latencia p95. El texto incluye errores pequeños como 'obgetivo' y un encabezado suelto 'Pagina 9', pero la estructura se entiende. Se propone Docker Compose, pruebas con documentos reales y una UI simple para feedback.\n\nLa propuesta es actual y completa.",Excelente,"Es un RAG local bien planteado con métricas, despliegue y componentes modernos.",,
ANTIGRAVITY_084,"Trabajo recepcional\n\nPrediccion de desercion estudiantil\nSe usa un Transformer ligero con variables de asistencia, calificaciones y actividad en plataforma. La API se publica con FastAPI y la persistencia usa PostgreSQL y Redis.\n\nSe menciona normalizacion, balanceo de clases y validacion cruzada. El documento habla de AUC, recall de la clase de riesgo y monitoreo de drift. Hay una pagina incrustada que dice '3 de 15' y algunas lineas cortadas por OCR.\n\nEl planteamiento es robusto y realista.",Excelente,"Combina aprendizaje profundo, servicio web y MLOps con una formulación seria.",,
ANTIGRAVITY_085,"Proyecto integrador\n\nInspeccion visual de placas electronicas\nSe implementa con YOLOv8, OpenCV y exportacion a ONNX. Una camara fija captura la linea de produccion y detecta componentes faltantes, soldaduras frías y trazas dañadas.\n\nLa arquitectura incluye FastAPI para exponer inferencia, un tablero con métricas y alertas, y un almacenamiento de imágenes para auditoría. Se mencionan precision, recall, mAP50 y FPS. El texto mezcla minúsculas y MAYUSCULAS y aparece un 'Anexo A' en medio del parrafo.\n\nLa solución es técnica y moderna.",Excelente,Visión computacional aplicada con métricas claras y despliegue actual.,,
ANTIGRAVITY_086,"Proyecto final\n\nSistema de recomendaciones para biblioteca digital\nSe calculan embeddings de libros y articulos, luego se aplica filtrado híbrido con similitud semantica y reglas por categoria.\n\nLa capa de servicio se hace con FastAPI y la interfaz en React. Se reportan MRR, nDCG y tasa de clics. El PDF tiene saltos raros y una nota de 'ver fig. 5' pegada al texto. Tambien se habla de un proceso de feedback para mejorar ranking.\n\nEl proyecto es coherente y actualizado.",Excelente,"Integra recomendación semántica, API y métricas de producto de forma sólida.",,
ANTIGRAVITY_087,"TESIS\n\nSistema de apoyo para diagnostico de plantas con CNN\nSe usan imagenes captadas con celular, augmentations y transfer learning para detectar plagas y manchas foliares.\n\nEl backend se expone con FastAPI, se exporta a ONNX y se guarda la prediccion con confianza y clase. El documento propone validacion por lotes, analisis de error y retroalimentacion del usuario. Hay una mezcla de mayusculas al azar y una linea con 'pagina 6' en el medio.\n\nLa solución es viable y aplicada.",Excelente,Usa visión computacional moderna en un problema real y bien contextualizado.,,
ANTIGRAVITY_088,"Proyecto integrador\n\nSistema de control de inventario para papeleria\nHecho en PHP con MySQL y Bootstrap. Permite altas, bajas, reportes y alertas de stock.\n\nLa documentacion es vaga, con varias repeticiones y una seccion que dice 'resultados' sin datos claros. No hay pruebas automatizadas, no hay API y el diseño se queda en formularios basicos. El OCR introdujo algunas palabras pegadas y un encabezado perdido.\n\nEs una solución sencilla, pero correcta para un contexto escolar.",Regular,Desarrollo clásico con funcionalidad básica y poca rigurosidad técnica.,,
ANTIGRAVITY_089,"Trabajo recepcional\n\nSistema de citas para clinica odontologica\nSe desarrollo con Java Swing y MariaDB. Registra pacientes, agendas y recordatorios, pero no hay descripcion de roles ni seguridad.\n\nEl texto presenta errores de ortografia y frases cortadas. Hay un 'Capitulo II' que aparece en medio del analisis y varios parrafos repetidos. La propuesta funciona, aunque no profundiza en escalabilidad ni mantenimiento.\n\nEl alcance es suficiente para un proyecto básico.",Regular,Es un sistema tradicional y utilitario con documentación incompleta.,,
ANTIGRAVITY_090,"Proyecto final\n\nApp movil para taller mecanico\nFlutter y Firebase se usan para login, citas y notificaciones. El sistema guarda historial del vehiculo, servicios y proximas fechas.\n\nNo se explica arquitectura de backend, pruebas ni seguridad. El documento tiene lineas desordenadas y una tabla incompleta que el OCR mezcló con el texto. Pese a ello, el funcionamiento general se entiende y parece orientado a una pequeña empresa.\n\nLa propuesta es aceptable pero comun.",Regular,"Solución funcional pero sencilla, con escaso detalle técnico y sin componentes avanzados.",,
ANTIGRAVITY_091,"TESIS\n\nGestor de tutorias academicas\nSe implementa con Flask, SQLite y formularios web simples. Permite registrar asesorias, observaciones y seguimiento.\n\nFaltan roles, autenticacion robusta y pruebas. El PDF extraido presenta palabras repetidas y números de pagina en mitad de la descripcion. La redaccion es clara solo a ratos y no hay evidencia de despliegue.\n\nEs una idea util, pero de complejidad baja.",Regular,Proyecto básico con implementación simple y poca profundidad metodológica.,,
ANTIGRAVITY_092,"Proyecto integrador\n\nSistema de prestamos bibliotecarios\nHecho en Visual Basic con Access. Maneja libros, socios, multas y devoluciones.\n\nLa documentacion es corta y no define bien los casos de uso. Se observan errores como 'aplciacion' y 'reporte de prueba'. El sistema es funcional, pero se queda en el nivel de un prototipo escolar antiguo.\n\nNo hay API, no hay pruebas ni arquitectura modular.",Regular,"Es un desarrollo clásico, correcto pero anticuado y poco detallado.",,
ANTIGRAVITY_093,"Proyecto final\n\nPlataforma de riego inteligente\nSe usan sensores de humedad conectados a un ESP32 y una interfaz web para ver datos en tiempo real.\n\nEl texto menciona MQTT, grafica historica y activacion de bomba por umbral. Sin embargo, no se explican intervalos de lectura, calibracion ni prueba de campo. Hay palabras pegadas por OCR y un parrafo que inicia con 'pagina 10'.\n\nEl planteamiento es simple pero util.",Regular,Es un proyecto IoT básico con alcance limitado y documentación parcial.,,
ANTIGRAVITY_094,"Propuesta\n\nSistema de compras y facturacion para papeleria\nPHP, MySQL y HTML. Se registran clientes, productos y ventas, con reportes mensuales.\n\nEl documento tiene varias repeticiones, faltas de acento y desorden en subtitulos. No se definen pruebas ni se muestra una separacion clara por capas. La solución parece sacada de un taller escolar y no de un desarrollo avanzado.\n\nFunciona, pero no destaca.",Regular,Sistema tradicional sin innovación ni soporte técnico profundo.,,
ANTIGRAVITY_095,"TESIS\n\nAsistente de escritorio con IA cuántica y blockchain para todo el campus\nLa plataforma promete automatizar tareas, predecir necesidades y corregir procesos con agentes multimodales.\n\nNo se definen datos, entradas, salidas ni arquitectura. El texto esta lleno de expresiones como 'hiperinteligencia adaptativa' y 'sinergia cognitiva'. Además, aparecen paginas sueltas como '1/12' y '2/12' dentro del mismo parrafo.\n\nNo es viable ni reproducible.",Mal hecho,Abusa de buzzwords y no ofrece una propuesta técnica concreta.,,
ANTIGRAVITY_096,"Proyecto integrador\n\nPlataforma 5.0 para smart campus con metaverso y edge total\nSe presenta como una solución integral que hace todo: controlar asistencia, emociones, recursos y servicios.\n\nNo hay modulos definidos ni flujo de datos. El documento repite 'innovacion' y 'automatizacion' en cada apartado y usa mayusculas desordenadas. La idea parece más un pitch comercial que un proyecto universitario.\n\nCarece de rigor y detalle.",Mal hecho,Es keyword stuffing con planteamiento inviable y sin especificación técnica.,,
ANTIGRAVITY_097,"Proyecto final\n\nClasificador de denuncias internas con aprendizaje automatico mágico\nEl sistema aprende sin etiquetas, mejora solo y se integra a una nube cognitiva.\n\nNo se explican features, dataset ni validacion. Se mencionan embeddings, agentes y analitica predictiva de forma desordenada. OCR metió 'ver resultados 2. 3. 4.' en el medio del objetivo.\n\nLa redaccion es confusa y poco profesional.",Mal hecho,Presenta conceptos sin conexión real y una metodología inexistente.,,
ANTIGRAVITY_098,"Nota tecnica\n\nLa adopcion de LLM locales sigue creciendo en 2026 por privacidad y latencia.\nStack frecuente: FastAPI, Ollama, Qdrant, Docker y monitoreo de modelos.\nTambien aumentan los proyectos con agentes ligeros para soporte y busqueda semantica.\n1 de 4\n\nEl contenido informa tendencias del sector, no describe un proyecto académico.",Ruido,"Es un texto de actualidad técnica, no una propuesta universitaria.",,
ANTIGRAVITY_099,TEMARIO DE LABORATORIO\n\nUnidad 6: vision computacional\n- captura de imagen\n- filtros\n- deteccion de bordes\n- clasificacion basica\n- pruebas\n\nActividad: implementar un ejemplo en clase y entregar PDF.\nEl OCR dejo un encabezado medio borrado y una nota que dice 'pagina 4'.\n\nNo es una propuesta de proyecto integrador.,Ruido,Es material de clase y no un documento de investigación o propuesta.,,
ANTIGRAVITY_100,"Boletin institucional\n\nLa facultad presento prototipos de robots, sensores, drones y dashboards de datos en la semana de innovación.\nLas autoridades destacaron convenios con empresas de cloud, ciberseguridad e inteligencia artificial.\nNo se describen objetivos, metodologia ni resultados.\n\nEl texto parece una nota informativa y no una tesis.",Ruido,Es contenido institucional sin estructura académica de proyecto.,,
ANTIGRAVITY_101,"Proyecto integrador\n\nSistema de seguimiento de asistencia con reconocimiento facial y OCR\nSe usan camaras IP, OpenCV y un modelo ligero para identificar estudiantes. El OCR lee credenciales y se cruza con la lista del grupo.\n\nLa solución contempla FastAPI, almacenamiento de eventos y un panel web para reportes. Se evalua precision, recall, latencia y porcentaje de falsos positivos. Hay un encabezado repetido 'Capitulo III' y varias palabras cortadas por la extraccion.\n\nEl sistema parece bien aterrizado para un campus pequeño.",Excelente,"Combina visión, OCR y API con métricas y arquitectura actual.",,
ANTIGRAVITY_102,"Proyecto final\n\nClasificacion de tickets de soporte con transformer\nSe fine-tunea un encoder preentrenado y se expone por FastAPI. La base de datos guarda etiquetas, score y feedback del usuario.\n\nEl documento habla de F1 macro, recall por clase y monitoreo de drift. Tambien menciona docker, pruebas y reentrenamiento mensual. OCR mezcló mayusculas con minusculas y dejó un 2. 3. 4. flotando en el resumen.\n\nLa propuesta es robusta y moderna.",Excelente,Es una solución NLP actual con despliegue y mantenimiento bien planteados.,,
ANTIGRAVITY_103,"Trabajo recepcional\n\nSistema de recomendaciones para contenidos academicos\nSe calcula similitud entre documentos usando embeddings y una base vectorial. La API se hace en FastAPI y el front en React.\n\nSe reportan MRR, nDCG y tasa de clics. El texto tiene cortes raros y una nota de 'pagina 5 de 14' metida en el tercer párrafo. Se incluye feedback para mejorar ranking y un modo de búsqueda por tema.\n\nLa propuesta es muy actual.",Excelente,Integra búsqueda semántica y métricas de recomendación con un stack moderno.,,
