id_documento,texto_extraido,categoria_calidad,razon_etiqueta,prediccion_ia,id_cluster,nombre_cluster,etiqueta_iso,tipo_innovacion,tsne_x,tsne_y
ANTIGRAVITY_015,"NOMBRE DEL PROYECTO: Pipeline CI/CD Automatizado para Microservicios. CATEGORÍA: DevOps. PROBLEMÁTICA: Despliegues manuales propensos a errores en el equipo. OBJETIVOS: Automatizar testing, linting y despliegue a Kubernetes. JUSTIFICACIÓN: Reduce el time-to-market y mejora la estabilidad. TECNOLOGÍAS: GitHub Actions, Docker, Kubernetes, Terraform. BIBLIOGRAFÍA: Fowler, M. (2006). Continuous Integration.",Excelente,"Enfoque puro en DevOps e Infraestructura, perfectamente descrito con herramientas actuales (Terraform, K8s).",Excelente,7,Blockchain y Web3,1,Mainstream,-1.8122084,-2.7969668
ANTIGRAVITY_016,PROYECTO: clon de netflix. TECNOLOGIAS: react y node. OBJETIVOS: hacer una pagina q reprodusca videos de youtube parecida a netflix. JUSTIFICACION: es para aprender.,Regular,"Ortografía regular, motivación puramente académica sin impacto real, pero es un proyecto de software válido.",Excelente,5,Desarrollo Móvil Multiplataforma,1,Mainstream,-1.3068415,-1.380955
ANTIGRAVITY_017,"NOMBRE DEL PROYECTO: Optimización de Rutas Logísticas con Algoritmos Genéticos. CATEGORÍA: Investigación de Operaciones / IA. PROBLEMÁTICA: Altos costos de combustible en flotas de reparto. OBJETIVOS: Implementar AG para resolver el problema del agente viajero (TSP) con restricciones de tiempo. JUSTIFICACIÓN: Minimización de costos operativos. TECNOLOGÍAS: Python, DEAP (Distributed Evolutionary Algorithms in Python), Google Maps API.",Excelente,"Resolución de un problema clásico (TSP) usando heurísticas avanzadas, muy bien fundamentado.",Regular,7,Blockchain y Web3,1,Mainstream,-1.3262843,-3.6158345
ANTIGRAVITY_018,"Nombre: Gestor de Tareas. Categoria Web. Funcionalidades: crear tarea, borrar tarea, poner completada. Usaremos angular y css puro.",Regular,"Un To-Do list básico, sin innovación, pero cumple con ser un desarrollo web.",Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,-1.1111214,2.4018598
ANTIGRAVITY_021,"NOMBRE DEL PROYECTO: Chatbot de Soporte Técnico con RAG. CATEGORÍA: NLP / IA. PROBLEMÁTICA: Tiempos de respuesta lentos en el helpdesk de TI. OBJETIVOS: Integrar Retrieval-Augmented Generation con documentación interna. JUSTIFICACIÓN: Respuestas precisas evitando alucinaciones de LLMs puros. TECNOLOGÍAS: LangChain, ChromaDB, OpenAI API, Python. BIBLIOGRAFÍA: Lewis, P., et al. (2020). Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.",Excelente,"Uso de arquitecturas modernas (RAG) para LLMs, menciona la prevención de alucinaciones y base de datos vectorial.",Regular,7,Blockchain y Web3,1,Mainstream,-2.5510473,-0.7182326
ANTIGRAVITY_022,Titulo: sistema escolar. Justificacion: las escuelas usan papel. Problematica: se pierden los papeles. Funcionalidades: registrar alumnos y maestros. Tecnologias: c# y sql server.,Regular,"Estructura mezclada y desordenada, redacción pobre, proyecto genérico de control escolar.",Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,-3.1178343,1.1158168
ANTIGRAVITY_024,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Ruido,Texto de prueba Lorem Ipsum.,Regular,6,Analítica y Ciencia de Datos,-1,Nicho_Innovador,1.9909047,-6.5377126
ANTIGRAVITY_025,"NOMBRE DEL PROYECTO: Detección de Anomalías en Servidores Linux. CATEGORÍA: Ciberseguridad / Machine Learning. PROBLEMÁTICA: Dificultad para detectar intrusiones en tiempo real. OBJETIVOS: Entrenar un modelo Isolation Forest con logs de sistema (syslog/auth.log). JUSTIFICACIÓN: Seguridad proactiva sin firmas estáticas. TECNOLOGÍAS: ELK Stack (Elasticsearch, Logstash, Kibana), Scikit-Learn. BIBLIOGRAFÍA: Liu, F. T., et al. (2008). Isolation Forest.",Excelente,"Proyecto sólido de ML aplicado a logs de servidores, herramientas estándar (ELK) y algoritmo correcto (Isolation Forest).",Excelente,7,Blockchain y Web3,1,Mainstream,2.9322102,-0.029662231
ANTIGRAVITY_026,proyecto: pagina pa vender comida. usamos react. los usuarios son los que compran. y los restaurantes. nomas eso.,Regular,"Redacción coloquial ('pa', 'nomas'), carece de la mayoría de las secciones formales.",Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,0.17782737,1.2793823
ANTIGRAVITY_027,"NOMBRE DEL PROYECTO: Sistema Recomendador de Películas. CATEGORÍA: Machine Learning. PROBLEMÁTICA: Sobrecarga de información en plataformas de streaming. OBJETIVOS: Filtrado colaborativo basado en ítems. JUSTIFICACIÓN: Mejora la retención de usuarios. TECNOLOGÍAS: Python, Pandas, Surprise Library.",Excelente,"Proyecto clásico de ciencia de datos, bien fundamentado y utilizando librerías adecuadas (Surprise).",Excelente,5,Desarrollo Móvil Multiplataforma,1,Mainstream,-1.1660161,-1.1256615
ANTIGRAVITY_028,titul0: app de gym. objetibos: acer rutinas. justificacion: para q la gente no se lastime. tecnologias: flutter y node.,Regular,"Contiene errores ortográficos severos ('acer', 'titul0', 'q'), pero la propuesta de software es distinguible.",Regular,5,Desarrollo Móvil Multiplataforma,1,Mainstream,-1.8282391,1.1147627
ANTIGRAVITY_030,SELECT * FROM usuarios WHERE email = 'test@test.com'; UPDATE usuarios SET status = 'activo'; DROP TABLE proyectos;,Ruido,"Consultas SQL sueltas, probablemente una filtración accidental de apuntes de bases de datos.",Excelente,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,-2.1121337,7.246611
ANTIGRAVITY_031,"NOMBRE DEL PROYECTO: Analizador de Sentimientos Financieros. CATEGORÍA: NLP / Finanzas. PROBLEMÁTICA: Volatilidad de mercados impulsada por noticias. OBJETIVOS: Extraer titulares financieros y clasificarlos con FinBERT. JUSTIFICACIÓN: Herramienta de apoyo para traders algorítmicos. TECNOLOGÍAS: HuggingFace, FinBERT, Beautiful Soup, FastAPI. BIBLIOGRAFÍA: Araci, D. (2019). FinBERT: Financial Sentiment Analysis with Pre-trained Language Models.",Excelente,"Uso de modelos pre-entrenados de dominio específico (FinBERT), Web Scraping y despliegue por API.",Excelente,7,Blockchain y Web3,1,Mainstream,2.8846867,-1.5718975
ANTIGRAVITY_032,nombre: juego del gato. problematica: aburrimiento. justificacion: diversion. tecnologias: python con tkinter. usuarios: todos.,Regular,"Desarrollo de un juego de tres en raya (gato), válido para introducción a la programación pero carente de profundidad.",Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,-2.9064143,-0.58994865
ANTIGRAVITY_034,"Y todo me recuerda a ti, en las noches frías de invierno, buscando tu mirada entre la multitud, sabiendo que nunca volverás a ser mía.",Ruido,"Letra de una canción o poema poético, sin ningún valor ingenieril.",Excelente,3,IoT y Sensores MPU,-1,Nicho_Innovador,2.7536209,-2.808018
ANTIGRAVITY_035,"NOMBRE DEL PROYECTO: Plataforma de Telemedicina Descentralizada. CATEGORÍA: Web3 e Ingeniería de Software. PROBLEMÁTICA: Falta de control del paciente sobre su historial clínico. OBJETIVOS: Crear Smart Contracts para permisos de acceso médico. JUSTIFICACIÓN: Otorga soberanía de datos al usuario. TECNOLOGÍAS: Solidity, Ethereum, React, IPFS. BIBLIOGRAFÍA: Nakamoto, S. (2008). Bitcoin: A Peer-to-Peer Electronic Cash System.",Excelente,Aplicación realista de Web3/Blockchain resolviendo un problema de privacidad en historiales médicos.,Regular,7,Blockchain y Web3,1,Mainstream,-1.1934685,-0.19456479
ANTIGRAVITY_036,sistema de inventario. usuarios: bodega. justificacion: se pierden cosas. problematica: mucho papel. tecnologia: java spring boot.,Regular,"Muy conciso, estructurado con etiquetas, pero le falta desarrollo argumentativo.",Regular,7,Blockchain y Web3,1,Mainstream,1.9920226,-2.422608
ANTIGRAVITY_037,"NOMBRE DEL PROYECTO: Detección de Caídas en Adultos Mayores. CATEGORÍA: IoT e IA. PROBLEMÁTICA: Alto riesgo de mortalidad por caídas no atendidas. OBJETIVOS: Integrar acelerómetro MPU6050 y clasificar con SVM. JUSTIFICACIÓN: Alerta temprana a familiares. TECNOLOGÍAS: ESP32, MQTT, Scikit-learn. BIBLIOGRAFÍA: Noury, N., et al. (2007). Fall detection principles.",Excelente,"Excelente integración de sensores, telemetría (MQTT) y aprendizaje automático clásico (SVM).",Excelente,3,IoT y Sensores MPU,1,Mainstream,1.3646568,-2.9777691
ANTIGRAVITY_038,titulo: red social para perros. categorias: web. objetivos: que los perros tengan perfil. tecnologias: php y mysql. fin.,Regular,"Idea trivial, redacción muy informal ('fin.'), sin justificación técnica ni métricas.",Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,-6.269235,-0.7847268
ANTIGRAVITY_040,Comprobante de Domicilio. Recibo de Luz CFE. Periodo de facturación: Mayo - Junio. Total a pagar: $450.00 MXN. Fecha límite de pago: 15 de Julio.,Ruido,Un recibo de luz que algún estudiante subió accidentalmente a la plataforma en lugar de su protocolo.,Regular,7,Blockchain y Web3,-1,Nicho_Innovador,0.50983506,-6.423261
ANTIGRAVITY_041,"NOMBRE DEL PROYECTO: Predicción de Fuga de Clientes (Churn). CATEGORÍA: Ciencia de Datos. PROBLEMÁTICA: Alto costo de adquisición vs retención. OBJETIVOS: Modelar comportamiento de usuarios con XGBoost. JUSTIFICACIÓN: Retener clientes es 5 veces más barato que adquirir nuevos. TECNOLOGÍAS: Python, Pandas, XGBoost, SHAP para explicabilidad.",Excelente,Problema de negocio clásico resuelto con técnicas robustas e inclusión de explicabilidad de modelos (SHAP).,Excelente,7,Blockchain y Web3,1,Mainstream,3.8323421,-0.5277153
ANTIGRAVITY_042,app de recetas. tecnologias android studio y java. para guardar recetas de cocina.,Regular,"Demasiado corto. Falta la problemática y los objetivos, pero se entiende que es una app móvil nativa.",Regular,8,Automatización de Infraestructura,-1,Nicho_Innovador,1.4925891,8.208442
ANTIGRAVITY_043,"NOMBRE DEL PROYECTO: Simulación de Fluidos con CUDA. CATEGORÍA: Computación de Alto Rendimiento. PROBLEMÁTICA: Simulaciones en CPU toman días. OBJETIVOS: Paralelizar algoritmo Navier-Stokes en GPU. JUSTIFICACIÓN: Acelera drásticamente renderizados y cálculos científicos. TECNOLOGÍAS: C++, CUDA, OpenGL.",Excelente,"Proyecto altamente técnico de High Performance Computing, fundamentado y con herramientas especializadas.",Excelente,7,Blockchain y Web3,-1,Nicho_Innovador,7.4477105,2.197967
ANTIGRAVITY_044,pagina de noticias. html css javascript bootstrap. para ver las noticias del dia.,Regular,Proyecto frontend estático básico.,Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,1.6372606,4.29656
ANTIGRAVITY_046,Instrucciones para armar el librero BILLY de IKEA. Paso 1. Inserte los taquetes de madera en los orificios laterales. Paso 2. Atornille con la llave Allen incluida.,Ruido,Manual de ensamblaje de muebles.,Regular,7,Blockchain y Web3,-1,Nicho_Innovador,-3.2394302,-4.122944
ANTIGRAVITY_047,"NOMBRE DEL PROYECTO: Traductor Automático Lengua de Señas a Texto. CATEGORÍA: Computer Vision / NLP. PROBLEMÁTICA: Barrera de comunicación para personas sordomudas. OBJETIVOS: Extraer landmarks con MediaPipe y secuenciar con LSTM. JUSTIFICACIÓN: Inclusión social. TECNOLOGÍAS: Python, MediaPipe, Keras, TensorFlow.",Excelente,Proyecto muy ambicioso y bien planteado combinando extracción de landmarks de video con redes recurrentes.,Regular,5,Desarrollo Móvil Multiplataforma,1,Mainstream,-2.6610897,-1.2777159
ANTIGRAVITY_048,sistema de citas para dentista. php puro sin frameworks y mysql. justificacion: mi dentista usa agenda de papel.,Regular,"Problema real, solución válida aunque anticuada (PHP puro), sin mención de IA o arquitecturas modernas.",Regular,0,Visión Artificial Edge,-1,Nicho_Innovador,-1.9547755,8.987675
ANTIGRAVITY_050,[2026-05-12 14:02:01] ERROR: NullReferenceException at UserAuth.Login() in /src/controllers/UserAuth.cs:line 45,Ruido,Un extracto de un log de errores de servidor pegado por error.,Regular,5,Desarrollo Móvil Multiplataforma,-1,Nicho_Innovador,-4.0923624,-2.4868755
RST_001,"Proyecto integrador

Sistema web para citas medicas en una clinica escolar
El obgetivo es reducir las filas y el tiempo de espera usando una plataforma sencilla con login, agenda y recordatorios por correo. La propuesta plantea usar Django, SQLite y Bootstrap, porque el equipo ya conoce un poco Python y eso ayuda a terminar a tiempo.

Se haran pruebas con 20 usuarios de la clinica universitaria y se medira tiempo de registro, cancelacion y busqueda. Tambien se piensa agregar reportes semanales en PDF.
Aunque el texto tiene una que otra palabra cortada por OCR, la idea se entiende y el alcance no parece tan grande.

Capitulo II aparece en medio del parrafo por error.",Regular,"Problema concreto, stack plausible, alcance moderado y validación mínima.",Regular,0,Visión Artificial Edge,1,Mainstream,-0.4936898,6.380844
RST_002,"Proyecto final

Aplicacion para detectar plagio entre tareas estudiantiles
La idea es comparar documentos subidos por el profesor y mostrar un porcentaje de similitud. Se propone hacer el frontend con React y el backend en FastAPI, usando una base de datos ligera para guardar reportes.

La validacion se haria con una coleccion de 100 tareas antiguas y una prueba manual de coincidencia. Se menciona usar NLP y una libreria de embeddings, aunque el equipo todavia no define cual.
El texto tiene una redaccion medio rara y una linea que dice pagina 3 de 8, pero se entiende la necesidad.

El alcance parece razonable para un semestre.",Excelente,"Caso realista, solución viable y validación básica.",Excelente,3,IoT y Sensores MPU,1,Mainstream,0.8192295,2.2716587
RST_003,"Proyecto integrador

Sistema de inventario para una papeleria pequena
Se quiere registrar entradas, salidas, proveedores y alertas de stock bajo. La solucion se haria con PHP, MySQL y una interfaz web simple para que el dueño la use sin complicarse.

El documento menciona reportes mensuales y respaldo de datos. No es una propuesta muy moderna, pero si util y bastante realista para un proyecto escolar.
Hay algunas faltas como implementacion y obgetivo, ademas de un encabezado repetido capitulo II.

Se propone probarlo con datos simulados y validar si se reducen errores en el control manual.",Regular,"Viable, concreto y con validación sencilla.",Regular,7,Blockchain y Web3,1,Mainstream,-3.263277,3.3407245
RST_004,"Proyecto integrador

Asistente de consultas para reglamentos universitarios
El objetivo es construir una herramienta que permita buscar normas, fechas y requisitos dentro de documentos PDF. La propuesta usa FastAPI, un modelo de lenguaje local y una base vectorial, porque la informacion cambia seguido y conviene no depender de internet.

Se planea evaluar con exactitud de respuesta, tiempo de consulta y porcentaje de respuestas sin contexto. El alcance incluye solo documentos oficiales de una facultad.
Hay saltos de linea raros y una frase partida por OCR, pero la arquitectura se ve clara.

Pagina 5 de 11.",Excelente,"Problema claro, tecnología coherente y métricas de evaluación.",Excelente,3,IoT y Sensores MPU,1,Mainstream,1.839052,1.6227927
RST_005,"Trabajo recepcional

Deteccion de emociones en clase mediante camara web
Se propone usar vision computacional para reconocer si los estudiantes estan atentos, aburridos o confundidos. La idea menciona YOLO, OpenCV y un dashboard para mostrar resultados en tiempo real.

El problema es concreto, aunque la redaccion tiene detalles mezclados y una parte dice capitulo III en medio del resumen.
Se dice que se probaria con videos grabados en laboratorio y se compararian resultados por expresion facial.

Es una propuesta ambiciosa, pero todavia dentro de lo posible si se limita bien el alcance.",Excelente,"Tecnología plausible y validación posible, aunque ambiciosa.",Excelente,3,IoT y Sensores MPU,1,Mainstream,4.5672812,2.3661547
RST_006,"Proyecto final

Sistema de limpieza de datos automatico para una empresa
La propuesta busca eliminar registros duplicados, normalizar nombres y corregir formatos de fechas. Se plantean scripts en Python, pandas y una pequeña interfaz web con Flask.

El texto tiene errores menores y parece extraido de un PDF con OCR malo, pero deja ver una necesidad operativa real. Se evaluaria comparando tiempo manual contra tiempo automatizado.

pagina 2 de 6 aparece al centro del documento.",Regular,"Solución concreta, medible y de alcance controlado.",Regular,7,Blockchain y Web3,1,Mainstream,-4.3234606,3.690031
RST_007,"Proyecto integrador

App movil para reportar baches en la ciudad
Se propone una aplicacion donde el usuario suba foto, ubicacion y comentario. El backend se haria con FastAPI y la app en Flutter, con mapas y notificaciones basicas.

La validacion seria por numero de reportes aceptados y tiempo de respuesta del servidor. El texto tiene una mezcla rara de mayusculas y minusculas, pero no se pierde la idea principal.
Tambien se menciona almacenar evidencia para que el municipio revise el caso.

Es una idea bastante aterrizada y facil de defender.",Excelente,"Problema concreto, stack razonable y validación simple.",Excelente,3,IoT y Sensores MPU,1,Mainstream,-0.30808264,0.35251728
RST_008,"Tesis

Clasificacion de tickets de soporte tecnico con Transformer
La propuesta busca separar solicitudes de software, hardware y red usando un encoder multilingue. Se expone un servicio API con FastAPI y se guarda historial en PostgreSQL.

Se planea medir F1 macro, precision por clase y tiempo de inferencia. El documento dice que se entrenara con tickets historicos del departamento de TI, lo cual da una fuente real de datos.
Hay un fragmento que dice pagina 8 de 13 en medio del abstract.

Aunque no esta perfecta la redaccion, la solucion si parece aprobable.",Excelente,"Problema real, modelo moderno y evaluación adecuada.",Excelente,7,Blockchain y Web3,1,Mainstream,0.15037851,-3.041525
RST_009,"Proyecto final

Control escolar con registro de asistencia por codigo QR
El sistema registrara entrada y salida de alumnos usando una camara y un lector QR. Se plantea usar Python, Flask y SQLite para una version inicial.

La validacion seria comparar asistencia manual contra digital durante dos semanas. Hay errores como tecnoologia y una linea suelta capitulo II, pero la propuesta sigue siendo entendible.

No se busca algo enorme, solo agilizar un proceso repetitivo del laboratorio.",Regular,"Caso práctico, implementación viable y alcance acotado.",Excelente,7,Blockchain y Web3,1,Mainstream,0.3638292,3.0815606
RST_010,"Proyecto integrador

Plataforma web para seguimiento de practicas profesionales
Se propone que el alumno suba avances, constancias y evidencias, mientras el asesor revisa y comenta desde un panel. La tecnologia propuesta es Laravel con MySQL y notificaciones por correo.

Se dice que el sistema reducira perdida de documentos y tiempos de revision. La evaluacion seria mediante encuesta de satisfaccion y tiempo promedio de respuesta.
El texto tiene frases cortadas y un 1 de 4 incrustado, pero se entiende.

Es una propuesta tradicional pero aceptable.",Regular,Solución funcional y realista con validación básica.,Excelente,7,Blockchain y Web3,1,Mainstream,-0.57829386,3.146734
RST_011,"Proyecto final

Asistente offline para bibliografia de tesis
La idea es indexar manuales, normas y guias en un buscador local con respuestas citadas. Se menciona FastAPI, un modelo pequeno cuantizado y una base vectorial sencilla.

La propuesta habla de medir precision de respuesta y tiempo de consulta. El alcance se limita a una sola carrera, lo cual ayuda mucho.
Hay errores leves de ortografia y una parte del texto esta partida por OCR, pero sigue siendo coherente.

capitulo IV aparece como encabezado suelto.",Excelente,"Problema definido, solución técnica plausible y alcance limitado.",Excelente,3,IoT y Sensores MPU,1,Mainstream,2.4679463,1.4900179
RST_012,"Trabajo recepcional

Sistema de cafeteria universitaria para pedidos en linea
Se propone una web donde los alumnos vean menu, hagan pedidos y paguen en efectivo al recoger. El stack seria Django, Bootstrap y una base de datos relacional.

La validacion se haria con prueba piloto en horas pico y conteo de pedidos atendidos. El texto es algo desordenado, con mayusculas raras y una nota pagina 3 de 7.

Aun asi, se entiende que el objetivo es evitar filas y errores al tomar comandas.",Regular,"Uso realista, stack sencillo y validación operativa.",Regular,7,Blockchain y Web3,1,Mainstream,-0.9372916,5.415332
RST_013,"Proyecto integrador

Sistema de recomendaciones para cursos optativos
Se quiere usar embeddings para sugerir materias segun intereses del alumno y su historial academico. El backend estaria en FastAPI y el front en React.

Se menciona medir tasa de clics, similitud y aceptacion de recomendaciones. El documento no es perfecto, pero si presenta problema, enfoque y una forma de evaluar.

Hay una linea que dice capitulo I en medio de la explicacion y otra con texto duplicado.

La idea es bastante convincente para un proyecto universitario.",Excelente,"Tiene problema claro, tecnología viable y métricas sencillas.",Excelente,3,IoT y Sensores MPU,1,Mainstream,2.9597356,1.192549
RST_014,"Proyecto final

Sistema para detectar caidas de red en un laboratorio
La propuesta consiste en monitorear ping, paquetes perdidos y disponibilidad de equipos. Se usarian scripts en Python, una API ligera y un dashboard con graficas.

El objetivo es avisar cuando un router o switch falle. Se probaria con simulaciones de desconexion y se compararia el tiempo de deteccion.
El texto tiene un par de errores de redaccion, pero no pierde sentido.

Es una solucion bastante razonable para una materia de redes o software.",Regular,"Caso concreto, implementación posible y validación medible.",Excelente,7,Blockchain y Web3,1,Mainstream,-1.321785,3.9357195
RST_015,"Proyecto integrador

Clasificador de correos institucionales
Se propone clasificar mensajes en becas, pagos, servicios y eventos usando un Transformer pequeno o un modelo ya entrenado. La interfaz se haria con FastAPI y una pagina web simple.

La validacion incluiria F1 macro y precision por clase, ademas de revisar ejemplos manuales. Se indica que el conjunto de datos saldra de correos anonimizados del campus.

El texto trae una mezcla de mayusculas y una frase mal cortada por OCR, pero el contenido sigue siendo serio.

Pagina 6 de 10 aparece al final.",Excelente,"Problema real, solución factible y validación clara.",Excelente,3,IoT y Sensores MPU,1,Mainstream,0.70764226,0.9339847
RST_016,"Proyecto final

Sistema de inventario para taller mecanico
El equipo quiere registrar refacciones, entradas y salidas, y avisar cuando el stock sea bajo. Se plantea usar PHP y MySQL, con formularios sencillos y reportes PDF.

La propuesta no es innovadora, pero si util para un negocio pequeno. Se menciona probar el sistema con datos reales del taller y revisar si bajan los errores manuales.
Hay errores leves como implementacion y obgetivo, además de un capitulo II repetido.

Es una propuesta aceptable por ser concreta y viable.",Regular,"Funcional, realista y con alcance bien acotado.",Regular,7,Blockchain y Web3,1,Mainstream,-3.199209,3.439478
RST_017,"Proyecto integrador

Chatbot para preguntas frecuentes de admision
Se propone una herramienta web para contestar dudas sobre requisitos, pagos y fechas. El backend se haria en FastAPI, con una base de conocimiento y respuestas predefinidas para casos sensibles.

La validacion seria por porcentaje de preguntas resueltas y tiempo de respuesta. El texto tiene fallas de OCR, pero la idea se entiende.

pagina 4 de 9 aparece dentro del segundo parrafo.",Regular,"Problema específico, solución simple y métricas básicas.",Excelente,7,Blockchain y Web3,1,Mainstream,-0.32599577,0.9706666
RST_018,"Proyecto final

Aplicacion para control de prestamos de equipo audiovisual
Se busca registrar camaras, tripies y microfonos prestados a alumnos. La propuesta usa Laravel, MySQL y autenticacion por usuarios.

Se plantea evaluar con pruebas de uso y conteo de incidencias antes y despues. El texto tiene redaccion un poco torpe, pero no esta fuera de contexto.

La idea es bastante realista para un proyecto de semestre.",Regular,"Solución sencilla, viable y con validación operativa.",Regular,7,Blockchain y Web3,1,Mainstream,-0.026699211,3.5222628
